timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-07-15,29.21,29.21,28.59,28.64,28.64,20310,0.0,1.0
2019-07-12,28.93,29.15,28.71,29.1,29.1,486870,0.0,1.0
2019-07-11,28.54,28.8,28.29,28.8,28.8,349998,0.0,1.0
2019-07-10,28.89,28.89,28.42,28.45,28.45,291347,0.0,1.0
2019-07-09,28.57,28.86,28.42,28.83,28.83,317789,0.0,1.0
2019-07-08,28.92,29.03,28.69,28.81,28.81,477442,0.0,1.0
2019-07-05,28.84,29.16,28.75,29.16,29.16,298585,0.0,1.0
2019-07-03,28.62,28.82,28.53,28.69,28.69,176272,0.0,1.0
2019-07-02,28.83,28.91,28.325,28.52,28.52,284033,0.0,1.0
2019-07-01,29.34,29.41,28.71,28.87,28.87,401608,0.0,1.0
2019-06-28,28.89,29.26,28.71,29.04,29.04,938120,0.0,1.0
2019-06-27,27.98,28.56,27.98,28.54,28.54,708170,0.0,1.0
2019-06-26,28.0,28.195,27.8,27.85,27.85,457959,0.0,1.0
2019-06-25,27.61,27.965,27.28,27.86,27.86,541014,0.0,1.0
2019-06-24,27.94,28.16,27.55,27.56,27.56,453378,0.0,1.0
2019-06-21,28.09,28.49,27.95,28.01,28.01,982886,0.0,1.0
2019-06-20,28.4,28.4,27.94,28.25,28.25,403113,0.0,1.0
2019-06-19,28.52,28.81,28.28,28.29,28.29,408019,0.0,1.0
2019-06-18,27.77,28.55,27.715,28.44,28.44,373857,0.0,1.0
2019-06-17,28.31,28.32,27.6,27.7,27.7,400795,0.0,1.0
2019-06-14,28.23,28.455,27.91,28.34,28.34,408106,0.0,1.0
2019-06-13,28.32,28.54,28.14,28.27,28.27,357519,0.17,1.0
2019-06-12,28.35,28.55,28.17,28.32,28.1507,291747,0.0,1.0
2019-06-11,28.49,28.64,28.23,28.39,28.2203,370153,0.0,1.0
2019-06-10,28.02,28.48,28.02,28.3,28.1308,338195,0.0,1.0
2019-06-07,27.78,27.97,27.65,27.89,27.7233,273695,0.0,1.0
2019-06-06,27.97,28.15,27.52,27.89,27.7233,259415,0.0,1.0
2019-06-05,28.42,28.42,27.86,28.04,27.8724,300335,0.0,1.0
2019-06-04,27.91,28.55,27.91,28.52,28.3495,398236,0.0,1.0
2019-06-03,27.0,27.88,27.0,27.59,27.4251,636477,0.0,1.0
2019-05-31,27.27,27.32,26.92,27.08,26.9181,573631,0.0,1.0
2019-05-30,28.09,28.41,27.34,27.62,27.4549,450867,0.0,1.0
2019-05-29,27.75,28.225,27.43,28.12,27.9519,394439,0.0,1.0
2019-05-28,28.54,28.54,28.0,28.04,27.8724,458975,0.0,1.0
2019-05-24,28.26,28.74,28.22,28.59,28.4191,393871,0.0,1.0
2019-05-23,28.27,28.27,27.76,28.16,27.9917,513365,0.0,1.0
2019-05-22,28.75,28.85,28.47,28.54,28.3694,333983,0.0,1.0
2019-05-21,28.71,28.87,28.67,28.85,28.6775,244433,0.0,1.0
2019-05-20,28.38,28.82,28.25,28.6,28.429,417073,0.0,1.0
2019-05-17,28.59,29.03,28.49,28.56,28.3893,322789,0.0,1.0
2019-05-16,28.81,29.26,28.74,28.85,28.6775,464949,0.0,1.0
2019-05-15,28.79,28.89,28.35,28.71,28.5384,298895,0.0,1.0
2019-05-14,28.63,29.3,28.51,29.16,28.9857,356913,0.0,1.0
2019-05-13,29.31,29.42,28.57,28.65,28.4787,488690,0.0,1.0
2019-05-10,29.72,29.96,29.27,29.93,29.7511,265484,0.0,1.0
2019-05-09,29.56,29.88,29.32,29.79,29.6119,336221,0.0,1.0
2019-05-08,29.96,30.21,29.82,29.83,29.6517,267312,0.0,1.0
2019-05-07,30.43,30.58,29.96,30.17,29.9897,254319,0.0,1.0
2019-05-06,30.27,30.77,29.94,30.66,30.4767,474242,0.0,1.0
2019-05-03,30.58,30.96,30.51,30.75,30.5662,412710,0.0,1.0
2019-05-02,30.16,30.575,30.09,30.41,30.2282,277160,0.0,1.0
2019-05-01,30.53,30.755,29.98,30.13,29.9499,450434,0.0,1.0
2019-04-30,30.97,30.97,30.48,30.48,30.2978,543795,0.0,1.0
2019-04-29,30.51,31.1,30.5,30.89,30.7054,303228,0.0,1.0
2019-04-26,29.94,30.48,29.85,30.45,30.268,247339,0.0,1.0
2019-04-25,29.87,30.11,29.5,29.92,29.7412,247362,0.0,1.0
2019-04-24,29.93,30.38,29.9,30.13,29.9499,417362,0.0,1.0
2019-04-23,29.33,30.17,29.29,30.08,29.9002,436106,0.0,1.0
2019-04-22,29.74,29.87,29.34,29.39,29.2143,352953,0.0,1.0
2019-04-18,30.1,30.85,29.78,29.83,29.6517,609260,0.0,1.0
2019-04-17,30.2,30.49,29.9401,30.36,30.1785,505919,0.0,1.0
2019-04-16,29.63,30.23,29.41,30.18,29.9996,447247,0.0,1.0
2019-04-15,30.11,30.22,29.37,29.48,29.3038,465329,0.0,1.0
2019-04-12,29.68,30.035,29.35,30.01,29.8306,730163,0.0,1.0
2019-04-11,29.45,29.71,29.21,29.36,29.1845,483424,0.0,1.0
2019-04-10,29.14,29.345,28.85,29.28,29.105,670358,0.0,1.0
2019-04-09,29.45,29.52,29.02,29.17,28.9956,296015,0.0,1.0
2019-04-08,29.69,29.7763,29.49,29.6,29.4231,373573,0.0,1.0
2019-04-05,29.64,29.87,29.35,29.82,29.6418,294367,0.0,1.0
2019-04-04,29.12,29.55,29.01,29.55,29.3734,439973,0.0,1.0
2019-04-03,29.29,29.37,28.92,29.08,28.9062,376387,0.0,1.0
2019-04-02,29.17,29.38,28.92,28.94,28.767,775330,0.0,1.0
2019-04-01,28.51,29.3,28.4814,29.23,29.0553,554632,0.0,1.0
2019-03-29,28.74,28.77,28.14,28.22,28.0513,516691,0.0,1.0
2019-03-28,28.14,28.48,27.87,28.46,28.2899,492669,0.0,1.0
2019-03-27,28.02,28.18,27.66,28.03,27.8625,317317,0.0,1.0
2019-03-26,27.73,28.11,27.59,28.05,27.8823,746273,0.0,1.0
2019-03-25,27.46,27.76,27.15,27.52,27.3555,460260,0.0,1.0
2019-03-22,28.33,28.33,27.05,27.42,27.2561,860052,0.0,1.0
2019-03-21,28.39,29.01,28.27,28.64,28.4688,723839,0.0,1.0
2019-03-20,29.38,29.72,28.65,28.68,28.5086,873966,0.0,1.0
2019-03-19,30.4,30.4,29.3,29.33,29.1547,524306,0.0,1.0
2019-03-18,29.95,30.5,29.95,30.24,30.0592,497406,0.0,1.0
2019-03-15,29.93,30.335,29.78,29.86,29.6815,1260403,0.0,1.0
2019-03-14,29.82,29.94,29.69,29.79,29.6119,360021,0.17,1.0
2019-03-13,29.98,30.12,29.8,29.93,29.5823,683122,0.0,1.0
2019-03-12,30.05,30.15,29.66,29.81,29.4637,313097,0.0,1.0
2019-03-11,29.96,30.13,29.81,30.03,29.6811,454073,0.0,1.0
2019-03-08,29.66,29.98,29.53,29.88,29.5329,576903,0.0,1.0
2019-03-07,30.45,30.49,29.69,29.75,29.4044,816655,0.0,1.0
2019-03-06,31.69,32.06,30.42,30.65,30.2939,1225006,0.0,1.0
2019-03-05,32.09,32.25,31.67,31.91,31.5393,460267,0.0,1.0
2019-03-04,32.51,32.58,31.76,32.12,31.7468,754847,0.0,1.0
2019-03-01,32.83,32.93,32.2,32.5,32.1224,756308,0.0,1.0
2019-02-28,32.74,32.89,32.56,32.59,32.2114,482565,0.0,1.0
2019-02-27,32.56,32.83,32.36,32.76,32.3794,394006,0.0,1.0
2019-02-26,32.99,33.04,32.54,32.55,32.1718,581949,0.0,1.0
2019-02-25,33.34,33.45,33.02,33.04,32.6561,614913,0.0,1.0
2019-02-22,33.22,33.27,32.97,33.13,32.7451,510632,0.0,1.0
2019-02-21,33.15,33.23,32.96,33.17,32.7846,604902,0.0,1.0
